Unique ID,CG Number,E01,E12,E14,E15,E16,E17,E18,E20,A82,A84,A95,A131,A186,A377,A384,A398,avg_E,avg_A,log2FC,submitted_id,FBgn_ID
INC031G06,CG7778,1.53462,1.37263,1.5226,1.12826,1.283,1.36898,1.45433,1.39508,1.46692,1.28741,1.44106,1.46026,1.47452,1.51108,1,1.67343,1.3824375,1.414335,0.03290962,CG7778,FBgn0032025
INC084A08,CG7780,1,2.64605,1.64049,1.41847,2.58299,1.57773,1.62416,1.25845,1.94317,2.02724,1.09033,2.90069,1.54004,1.67373,1.8332,2.75067,1.7185425,1.96988375,0.196924963,CG7780,FBgn0000477
INC026A10,CG7789,1.29918,1.00707,1.07608,2.2728,1.39779,1.72455,1.62083,2.00623,1.5077,1.05608,1.93865,1,1.57921,1.37335,1.18191,1.34479,1.55056625,1.37271125,-0.175766982,CG7789,FBgn0039698
INC029B06,CG7793,1.44313,1.19018,1.21638,1.26697,1.26204,1.28849,1.34967,1.53146,1.18767,1.32946,1,1.4649,1.17142,1.44338,1.27996,1.11024,1.31854,1.24837875,-0.078885633,CG7793,FBgn0001965
INC084D07,CG7794,1.38213,1.2609,1.282,1.51354,1.55855,1.21876,1.48411,1,1.34257,1.45688,1.73697,1.44909,1.21021,1.25775,1.06786,1.11622,1.33749875,1.32969375,-0.008443535,CG7794,FBgn0038565
INC026A12,CG7796,1.80843,1.58798,2.0842,1.68631,1.62154,2.21081,2.12584,2.13672,2.40227,1.70783,1,2.11244,1.75698,2.06111,1.59244,2.13734,1.90772875,1.84630125,-0.047218088,CG7796,FBgn0085414
INC084E10,CG7803,1.493,1.12573,1.2427,1.1875,1.19176,1.50448,1.5036,1.56498,1.36883,1.31241,1,1.51389,1.10445,1.32536,1.44245,1.27419,1.35171875,1.2926975,-0.064410289,CG7803,FBgn0004050
INC034F01,CG7804,1.093,1.04944,1.17502,1.21677,1.00577,1.04693,1.31597,1.13583,1.32058,1.05562,1.08685,1.25963,1.25007,1.17551,1.02546,1,1.12984125,1.146715,0.021386795,CG7804,FBgn0036496
INC109F09,CG7808,1.16595,1.23969,1.25831,1.04018,1.12461,1.17182,1.09381,1.19379,1.13047,1.064,1.1489,1.03966,1.11532,1.00071,1,1.08908,1.16102,1.0735175,-0.113047115,CG7808,FBgn0039713
INC128B09,CG7809,1.24166,1.14868,1.21464,1.15776,1.24473,1,1.03519,1.51765,1.26328,1.17519,1.06224,1.19637,1.06439,1.24156,1.26889,1.18338,1.19503875,1.1819125,-0.015934166,CG7809,FBgn0036919
INC088A05,CG7811,1.34259,1.21383,1.11164,1.46726,1.71127,1.10137,1.33508,1,1.26363,1.56106,1.62349,1.35491,1.46737,1.67462,1.2506,1.58331,1.28538,1.47237375,0.195949004,CG7811,FBgn0000153
